"tourney_name";"year";"winner_name";"loser_name";"score"
"";2016;"Kai Chen Chang";"Laura Pous Tio";"6-2 3-0"
"";2016;"Arina Rodionova";"Ying Ying Duan";"2-1"
"";2016;"Xinyun Han";"Mariana Duque Marino";"6-2 2-1"
"";2016;"Carla Suarez Navarro";"Elizaveta Kulichkova";"6-4 2-0"
"";2017;"Varvara Lepchenko";"Andrea Petkovic";""
"";2017;"Lara Arruabarrena";"Madison Brengle";""
"";2017;"Jennifer Brady";"Carina Witthoeft";""
"";2017;"Christina Mchale";"Magda Linette";""
"";2018;"Catherine Cartan Bellis";"Naomi Osaka";""
"";2018;"Marketa Vondrousova";"Ying Ying Duan";""
"";2018;"Bernarda Pera";"Kateryna Bondarenko";""
"";2018;"Anna Blinkova";"Monica Niculescu";""
"";2018;"Barbora Krejcikova";"Jana Fett";"4-6 7-5 3-1"
"";2018;"Francesca Di Lorenzo";"Silvia Soler Espinosa";""
"";2018;"Vera Lapko";"Fanny Stollar";""
"";2018;"Caroline Dolehide";"Claire Liu";""
"";2018;"Georgina Garcia Perez";"Maryna Zanevska";""
"";2018;"Dalila Jakupovic";"Eugenie Bouchard";"6-0 2-1"
"";2018;"Yulia Putintseva";"Andrea Hlavackova";""
"";2018;"Kristyna Pliskova";"Kateryna Bondarenko";""
"";2018;"Natalia Vikhlyantseva";"Kurumi Nara";""
"";2018;"Carla Suarez Navarro";"Katie Boulter";""
"";2018;"Kirsten Flipkens";"Barbora Krejcikova";""
"";2018;"Qiang Wang";"Lucie Safarova";""
"";2018;"Monica Niculescu";"Sesil Karatantcheva";""
"";2018;"Sofya Zhuk";"Caroline Dolehide";""
"";2018;"Christina Mchale";"Ana Bogdan";""
"";2018;"Alize Cornet";"Aliaksandra Sasnovich";""
"";2018;"Ana Bogdan";"Viktoria Kuzmova";""
"";2018;"Stefanie Voegele";"Tatjana Maria";""
"";2018;"Varvara Lepchenko";"Allie Kiick";""
"";2018;"Kaia Kanepi";"Rebecca Peterson";""
"";2018;"Petra Martic";"Ajla Tomljanovic";""
"";2019;"Bianca Andreescu";"Katie Swan";""
"";2019;"Conny Perrin";"Carina Witthoeft";""
"";2019;"Bianca Andreescu";"Tereza Smitkova";""
"";2019;"Robin Anderson";"Nicole Gibbs";""
"Olsztyn 10K";1996;"Alina Jidkova";"Dominika Olszewska";"1-2"
"Biograd 10K";1996;"Eva Krejcova";"Gabriela Kucerova";"5-7 6-2 2-0"
"Les Contamines 10K";1997;"Angelika Roesch";"Harmonie Fiacchi";"6-1 3-3"
"Le Havre 10K";1997;"Katarzyna Nowak";"Laura Fodorean";"6-0 2-0"
"Redbridge 25K";2000;"Libuse Prusova";"Joanne Ward";"7-6(3) 1-0"
"San Severo 10K";2000;"Vanessa Krauth";"Jasmine Angeli";"7-5 2-0"
"Nottingham 10K";2006;"Jane Odonoghue";"Natasha Khan";"6-2 3-3"
"IstanbulKemer 25K";2007;"Cagla Buyukakcay";"Isha Lakhani";"6-2 3-1"
"Almere 10K";2009;"Kiki Bertens";"Sarah Gronert";"6-4 3-1"
"Rebecq 10K";2011;"Kelly Versteeg";"Claudine Schaul";"0-6 2-2"
"Mallorca 10K";2013;"Ivonne Cavalle Reimers";"Eva Fernandez Brugues";"6-3 3-3"
"Sharm El Sheikh 10K";2013;"Nour Tohamy";"Ida Alfredsson";"6-0 3-0"
"Oslo $10K";2015;"Andrea Raaholdt";"Oleksandra Piskun";"3-6 6-4 1-0"
